country,country_code,year,gdp_eur_millions
Finland,FI,2012,200378.0
Finland,FI,2013,203497.0
Finland,FI,2014,205855.0
Finland,FI,2015,210192.0
Finland,FI,2016,215717.0
Finland,FI,2017,224706.0
Finland,FI,2018,231905.0
Finland,FI,2019,238518.0
Finland,FI,2020,236387.0
Finland,FI,2021,248764.0
Finland,FI,2022,266135.0
Finland,FI,2023,273005.0
Finland,FI,2024,275993.0
Finland,FI,2025,280570.0
France,FR,1975,288049.5
France,FR,1976,331012.5
France,FR,1977,355596.4
France,FR,1978,394484.3
France,FR,1979,443872.1
France,FR,1980,500064.0
France,FR,1981,548132.2
France,FR,1982,590815.4
France,FR,1983,622888.3
France,FR,1984,667733.0
France,FR,1985,723609.3
France,FR,1986,779175.7
France,FR,1987,803521.4
France,FR,1988,855722.8
France,FR,1989,923514.9
France,FR,1990,990441.3
France,FR,1991,1018584.6
France,FR,1992,1074162.7
France,FR,1993,1122160.5
France,FR,1994,1168854.1
France,FR,1995,1220222.9
France,FR,1996,1259758.8
France,FR,1997,1279326.6
France,FR,1998,1337784.3
France,FR,1999,1395148.0
France,FR,2000,1473517.3
France,FR,2001,1530070.9
France,FR,2002,1578330.4
France,FR,2003,1622312.8
France,FR,2004,1696107.7
France,FR,2005,1762047.7
France,FR,2006,1846020.8
France,FR,2007,1937876.3
France,FR,2008,1989999.7
France,FR,2009,1935840.2
France,FR,2010,1996075.1
France,FR,2011,2062141.4
France,FR,2012,2088286.7
France,FR,2013,2120351.9
France,FR,2014,2153733.1
France,FR,2015,2201401.6
France,FR,2016,2231819.2
France,FR,2017,2291680.5
France,FR,2018,2355362.8
France,FR,2019,2432206.8
France,FR,2020,2318276.2
France,FR,2021,2508102.3
France,FR,2022,2653997.2
France,FR,2023,2826541.5
France,FR,2024,2919899.9
France,FR,2025,2979085.1
Germany,DE,1991,1517932.9
Germany,DE,1992,1655317.2
Germany,DE,1993,1774986.2
Germany,DE,1994,1867918.1
Germany,DE,1995,1983157.1
Germany,DE,1996,1975310.3
Germany,DE,1997,1958621.6
Germany,DE,1998,2008652.6
Germany,DE,1999,2077240.0
Germany,DE,2000,2129660.0
Germany,DE,2001,2195530.0
Germany,DE,2002,2223360.0
Germany,DE,2003,2240810.0
Germany,DE,2004,2293040.0
Germany,DE,2005,2325710.0
Germany,DE,2006,2426180.0
Germany,DE,2007,2542220.0
Germany,DE,2008,2589280.0
Germany,DE,2009,2493970.0
Germany,DE,2010,2615260.0
Germany,DE,2011,2746910.0
Germany,DE,2012,2799280.0
Germany,DE,2013,2866480.0
Germany,DE,2014,2984470.0
Germany,DE,2015,3087030.0
Germany,DE,2016,3195210.0
Germany,DE,2017,3333110.0
Germany,DE,2018,3434030.0
Germany,DE,2019,3537280.0
Germany,DE,2020,3450720.0
Germany,DE,2021,3682340.0
Germany,DE,2022,3989390.0
Germany,DE,2023,4219310.0
Germany,DE,2024,4328970.0
Germany,DE,2025,4469910.0
Greece,EL,1995,103206.4
Greece,EL,1996,112262.3
Greece,EL,1997,122477.8
Greece,EL,1998,124754.4
Greece,EL,1999,134588.8
Greece,EL,2000,137827.6
Greece,EL,2001,147438.7
Greece,EL,2002,158902.3
Greece,EL,2003,174096.0
Greece,EL,2004,188905.2
Greece,EL,2005,194773.4
Greece,EL,2006,214298.9
Greece,EL,2007,229282.8
Greece,EL,2008,238735.4
Greece,EL,2009,234322.6
Greece,EL,2010,223590.5
Greece,EL,2011,203475.0
Greece,EL,2012,185899.2
Greece,EL,2013,178113.9
Greece,EL,2014,176071.8
Greece,EL,2015,175362.9
Greece,EL,2016,174448.2
Greece,EL,2017,177378.5
Greece,EL,2018,180615.7
Greece,EL,2019,185181.2
Greece,EL,2020,167539.5
Greece,EL,2021,184574.6
Greece,EL,2022,207008.7
Greece,EL,2023,224686.2
Greece,EL,2024,236736.0
Greece,EL,2025,248353.7
Hungary,HU,1995,35585.4
Hungary,HU,1996,36896.3
Hungary,HU,1997,41831.0
Hungary,HU,1998,43477.8
Hungary,HU,1999,46121.5
Hungary,HU,2000,51300.9
Hungary,HU,2001,60068.8
Hungary,HU,2002,71785.3
Hungary,HU,2003,75344.2
Hungary,HU,2004,83798.3
Hungary,HU,2005,90999.5
Hungary,HU,2006,92038.0
Hungary,HU,2007,102368.2
Hungary,HU,2008,108278.8
Hungary,HU,2009,94416.6
Hungary,HU,2010,99562.8
Hungary,HU,2011,101986.9
Hungary,HU,2012,99979.9
Hungary,HU,2013,102210.9
Hungary,HU,2014,106335.3
Hungary,HU,2015,112854.0
Hungary,HU,2016,116593.5
Hungary,HU,2017,127222.5
Hungary,HU,2018,136580.0
Hungary,HU,2019,147373.2
Hungary,HU,2020,138954.5
Hungary,HU,2021,154971.7
Hungary,HU,2022,168546.2
Hungary,HU,2023,196983.7
Hungary,HU,2024,206156.2
Hungary,HU,2025,218833.9
Ireland,IE,1995,52881.3
Ireland,IE,1996,59701.5
Ireland,IE,1997,73118.8
Ireland,IE,1998,80565.7
Ireland,IE,1999,92790.5
Ireland,IE,2000,108495.3
Ireland,IE,2001,122089.2
Ireland,IE,2002,135997.9
Ireland,IE,2003,145576.9
Ireland,IE,2004,156260.0
Ireland,IE,2005,170306.8
Ireland,IE,2006,184916.2
Ireland,IE,2007,197069.4
Ireland,IE,2008,187283.0
Ireland,IE,2009,169519.7
Ireland,IE,2010,167255.1
Ireland,IE,2011,173120.4
Ireland,IE,2012,176621.9
Ireland,IE,2013,182908.6
Ireland,IE,2014,200594.9
Ireland,IE,2015,272282.9
Ireland,IE,2016,275933.1
Ireland,IE,2017,308366.0
Ireland,IE,2018,335136.0
Ireland,IE,2019,363752.6
Ireland,IE,2020,381728.7
Ireland,IE,2021,448445.1
Ireland,IE,2022,520718.4
Ireland,IE,2023,524728.8
Ireland,IE,2024,562794.2
Ireland,IE,2025,638683.3
Italy,IT,1995,900369.7
Italy,IT,1996,1035610.7
Italy,IT,1997,1099046.2
Italy,IT,1998,1136926.5
Italy,IT,1999,1177549.7
Italy,IT,2000,1244744.2
Italy,IT,2001,1308623.1
Italy,IT,2002,1355522.3
Italy,IT,2003,1399386.0
Italy,IT,2004,1457356.2
Italy,IT,2005,1499073.1
Italy,IT,2006,1559864.2
Italy,IT,2007,1621714.5
Italy,IT,2008,1643718.8
Italy,IT,2009,1584106.8
Italy,IT,2010,1617944.7
Italy,IT,2011,1657362.2
Italy,IT,2012,1632898.5
Italy,IT,2013,1621260.7
Italy,IT,2014,1635870.7
Italy,IT,2015,1663277.7
Italy,IT,2016,1704856.7
Italy,IT,2017,1744493.0
Italy,IT,2018,1777744.4
Italy,IT,2019,1804066.8
Italy,IT,2020,1670011.9
Italy,IT,2021,1842507.4
Italy,IT,2022,1998072.6
Italy,IT,2023,2142744.4
Italy,IT,2024,2202031.2
Italy,IT,2025,2258048.7
Latvia,LV,1995,4008.1
Latvia,LV,1996,4565.2
Latvia,LV,1997,5593.9
Latvia,LV,1998,6230.7
Latvia,LV,1999,6850.7
Latvia,LV,2000,8418.0
Latvia,LV,2001,9182.2
Latvia,LV,2002,9841.0
Latvia,LV,2003,10029.0
Latvia,LV,2004,11229.7
Latvia,LV,2005,13226.9
Latvia,LV,2006,16449.4
Latvia,LV,2007,21592.4
Latvia,LV,2008,23355.3
Latvia,LV,2009,18406.6
Latvia,LV,2010,17572.2
Latvia,LV,2011,19022.6
Latvia,LV,2012,21270.9
Latvia,LV,2013,21997.0
Latvia,LV,2014,22790.5
Latvia,LV,2015,23744.3
Latvia,LV,2016,24498.2
Latvia,LV,2017,26017.1
Latvia,LV,2018,28153.4
Latvia,LV,2019,29567.0
Latvia,LV,2020,29224.3
Latvia,LV,2021,32283.8
Latvia,LV,2022,36088.7
Latvia,LV,2023,39564.2
Latvia,LV,2024,40652.3
Latvia,LV,2025,43026.2
Lithuania,LT,1995,5156.9
Lithuania,LT,1996,6639.4
Lithuania,LT,1997,8966.6
Lithuania,LT,1998,10070.0
Lithuania,LT,1999,10339.7
Lithuania,LT,2000,12503.7
Lithuania,LT,2001,13690.7
Lithuania,LT,2002,15177.2
Lithuania,LT,2003,16674.6
Lithuania,LT,2004,18312.5
Lithuania,LT,2005,20986.0
Lithuania,LT,2006,23999.6
Lithuania,LT,2007,29034.1
Lithuania,LT,2008,32683.1
Lithuania,LT,2009,26973.5
Lithuania,LT,2010,27663.4
Lithuania,LT,2011,31066.4
Lithuania,LT,2012,33240.4
Lithuania,LT,2013,34874.0
Lithuania,LT,2014,36410.1
Lithuania,LT,2015,37440.7
Lithuania,LT,2016,38820.7
Lithuania,LT,2017,42274.6
Lithuania,LT,2018,45947.4
Lithuania,LT,2019,49239.2
Lithuania,LT,2020,50264.6
Lithuania,LT,2021,56709.1
Lithuania,LT,2022,67081.1
Lithuania,LT,2023,74317.0
Lithuania,LT,2024,78996.2
Lithuania,LT,2025,84258.0
Luxembourg,LU,1995,15946.2
Luxembourg,LU,1996,16462.1
Luxembourg,LU,1997,17266.5
Luxembourg,LU,1998,18005.7
Luxembourg,LU,1999,20547.8
Luxembourg,LU,2000,22986.0
Luxembourg,LU,2001,23879.9
Luxembourg,LU,2002,25011.1
Luxembourg,LU,2003,26227.3
Luxembourg,LU,2004,28189.4
Luxembourg,LU,2005,30281.0
Luxembourg,LU,2006,34175.1
Luxembourg,LU,2007,37641.9
Luxembourg,LU,2008,40009.6
Luxembourg,LU,2009,39050.7
Luxembourg,LU,2010,42402.7
Luxembourg,LU,2011,44323.5
Luxembourg,LU,2012,46526.2
Luxembourg,LU,2013,49094.5
Luxembourg,LU,2014,51791.3
Luxembourg,LU,2015,54142.3
Luxembourg,LU,2016,56208.1
Luxembourg,LU,2017,58168.8
Luxembourg,LU,2018,60193.4
Luxembourg,LU,2019,62415.0
Luxembourg,LU,2020,64499.2
Luxembourg,LU,2021,73039.5
Luxembourg,LU,2022,76731.2
Luxembourg,LU,2023,82115.5
Luxembourg,LU,2024,86180.3
Luxembourg,LU,2025,89521.5
Malta,MT,1995,2838.2
Malta,MT,1996,3010.5
Malta,MT,1997,3341.0
Malta,MT,1998,3581.2
Malta,MT,1999,3852.1
Malta,MT,2000,4377.0
Malta,MT,2001,4546.1
Malta,MT,2002,4724.5
Malta,MT,2003,4796.9
Malta,MT,2004,4915.6
Malta,MT,2005,5133.8
Malta,MT,2006,5380.6
Malta,MT,2007,5778.2
Malta,MT,2008,6236.5
Malta,MT,2009,6287.6
Malta,MT,2010,6862.0
Malta,MT,2011,7032.8
Malta,MT,2012,7479.5
Malta,MT,2013,8129.4
Malta,MT,2014,8948.5
Malta,MT,2015,10221.4
Malta,MT,2016,10864.3
Malta,MT,2017,12535.7
Malta,MT,2018,13678.6
Malta,MT,2019,14594.2
Malta,MT,2020,14362.4
Malta,MT,2021,16681.7
Malta,MT,2022,17984.8
Malta,MT,2023,20924.8
Malta,MT,2024,23136.7
Malta,MT,2025,24577.2
Netherlands,NL,1995,346510.0
Netherlands,NL,1996,355624.3
Netherlands,NL,1997,368473.6
Netherlands,NL,1998,392001.0
Netherlands,NL,1999,420143.0
Netherlands,NL,2000,452191.0
Netherlands,NL,2001,482941.0
Netherlands,NL,2002,502901.0
Netherlands,NL,2003,514901.0
Netherlands,NL,2004,531573.0
Netherlands,NL,2005,553122.0
Netherlands,NL,2006,587444.0
Netherlands,NL,2007,622775.0
Netherlands,NL,2008,651299.0
Netherlands,NL,2009,630173.0
Netherlands,NL,2010,643022.0
Netherlands,NL,2011,656013.0
Netherlands,NL,2012,658232.0
Netherlands,NL,2013,665567.0
Netherlands,NL,2014,678627.0
Netherlands,NL,2015,699175.0
Netherlands,NL,2016,720175.0
Netherlands,NL,2017,750861.0
Netherlands,NL,2018,787273.0
Netherlands,NL,2019,829767.0
Netherlands,NL,2020,816463.0
Netherlands,NL,2021,891550.0
Netherlands,NL,2022,993820.0
Netherlands,NL,2023,1050133.0
Netherlands,NL,2024,1121543.0
Netherlands,NL,2025,1179458.0
Poland,PL,1995,109251.2
Poland,PL,1996,126689.1
Poland,PL,1997,141122.1
Poland,PL,1998,155540.9
Poland,PL,1999,160193.7
Poland,PL,2000,187532.8
Poland,PL,2001,213857.2
Poland,PL,2002,211220.0
Poland,PL,2003,193199.6
Poland,PL,2004,207064.4
Poland,PL,2005,246903.6
Poland,PL,2006,275514.0
Poland,PL,2007,314356.3
Poland,PL,2008,367420.9
Poland,PL,2009,317876.9
Poland,PL,2010,360890.7
Poland,PL,2011,379540.6
Poland,PL,2012,387660.3
Poland,PL,2013,390177.0
Poland,PL,2014,408714.7
Poland,PL,2015,432485.8
Poland,PL,2016,427658.6
Poland,PL,2017,469071.2
Poland,PL,2018,503951.0
Poland,PL,2019,538423.5
Poland,PL,2020,531827.4
Poland,PL,2021,583001.4
Poland,PL,2022,661712.3
Poland,PL,2023,751931.7
Poland,PL,2024,848490.9
Poland,PL,2025,918463.6
Portugal,PT,1995,91015.8
Portugal,PT,1996,96626.8
Portugal,PT,1997,103306.6
Portugal,PT,1998,110683.7
Portugal,PT,1999,119603.3
Portugal,PT,2000,128414.4
Portugal,PT,2001,135775.0
Portugal,PT,2002,142554.3
Portugal,PT,2003,146067.9
Portugal,PT,2004,152248.4
Portugal,PT,2005,158552.7
Portugal,PT,2006,166260.5
Portugal,PT,2007,175483.4
Portugal,PT,2008,179102.8
Portugal,PT,2009,175416.4
Portugal,PT,2010,179860.4
Portugal,PT,2011,176318.0
Portugal,PT,2012,168538.8
Portugal,PT,2013,170675.6
Portugal,PT,2014,173186.7
Portugal,PT,2015,179392.7
Portugal,PT,2016,186380.7
Portugal,PT,2017,195509.1
Portugal,PT,2018,204997.6
Portugal,PT,2019,214489.9
Portugal,PT,2020,201032.7
Portugal,PT,2021,216493.7
Portugal,PT,2022,243957.1
Portugal,PT,2023,270352.6
Portugal,PT,2024,289784.3
Portugal,PT,2025,306765.5
Romania,RO,1995,28589.8
Romania,RO,1996,29035.4
Romania,RO,1997,31450.5
Romania,RO,1998,37063.3
Romania,RO,1999,33726.8
Romania,RO,2000,40594.9
Romania,RO,2001,45143.6
Romania,RO,2002,48695.7
Romania,RO,2003,51108.5
Romania,RO,2004,60402.0
Romania,RO,2005,79223.9
Romania,RO,2006,97215.6
Romania,RO,2007,127632.0
Romania,RO,2008,146589.7
Romania,RO,2009,125219.8
Romania,RO,2010,128305.3
Romania,RO,2011,138528.2
Romania,RO,2012,139307.7
Romania,RO,2013,142936.0
Romania,RO,2014,150528.8
Romania,RO,2015,160289.0
Romania,RO,2016,167497.1
Romania,RO,2017,186399.2
Romania,RO,2018,204780.7
Romania,RO,2019,223341.4
Romania,RO,2020,219839.8
Romania,RO,2021,240986.6
Romania,RO,2022,280777.4
Romania,RO,2023,321577.9
Romania,RO,2024,353633.1
Romania,RO,2025,380058.1
Slovakia,SK,1995,15524.4
Slovakia,SK,1996,17219.8
Slovakia,SK,1997,19427.8
Slovakia,SK,1998,20415.6
Slovakia,SK,1999,19537.0
Slovakia,SK,2000,22368.6
Slovakia,SK,2001,23869.3
Slovakia,SK,2002,26300.3
Slovakia,SK,2003,29924.1
Slovakia,SK,2004,34623.4
Slovakia,SK,2005,39239.7
Slovakia,SK,2006,45592.0
Slovakia,SK,2007,56354.7
Slovakia,SK,2008,66065.4
Slovakia,SK,2009,64055.1
Slovakia,SK,2010,68726.7
Slovakia,SK,2011,71629.5
Slovakia,SK,2012,73727.6
Slovakia,SK,2013,74642.7
Slovakia,SK,2014,76562.3
Slovakia,SK,2015,80376.3
Slovakia,SK,2016,81621.6
Slovakia,SK,2017,84960.4
Slovakia,SK,2018,90275.9
Slovakia,SK,2019,94547.5
Slovakia,SK,2020,94320.6
Slovakia,SK,2021,101891.6
Slovakia,SK,2022,109959.8
Slovakia,SK,2023,123538.7
Slovakia,SK,2024,130207.5
Slovakia,SK,2025,136754.3
Slovenia,SI,1995,16352.0
Slovenia,SI,1996,16917.3
Slovenia,SI,1997,18288.8
Slovenia,SI,1998,19706.3
Slovenia,SI,1999,21132.4
Slovenia,SI,2000,21726.2
Slovenia,SI,2001,23018.1
Slovenia,SI,2002,24679.7
Slovenia,SI,2003,26004.7
Slovenia,SI,2004,27484.3
Slovenia,SI,2005,28914.4
Slovenia,SI,2006,31300.2
Slovenia,SI,2007,34936.9
Slovenia,SI,2008,37742.1
Slovenia,SI,2009,35830.3
Slovenia,SI,2010,36050.8
Slovenia,SI,2011,36782.2
Slovenia,SI,2012,35933.6
Slovenia,SI,2013,36041.3
Slovenia,SI,2014,37270.9
Slovenia,SI,2015,38493.9
Slovenia,SI,2016,40013.2
Slovenia,SI,2017,42625.5
Slovenia,SI,2018,45462.4
Slovenia,SI,2019,48156.5
Slovenia,SI,2020,46738.7
Slovenia,SI,2021,52032.4
Slovenia,SI,2022,56881.6
Slovenia,SI,2023,64050.0
Slovenia,SI,2024,67418.1
Slovenia,SI,2025,70486.2
Spain,ES,1995,469819.9
Spain,ES,1996,506096.6
Spain,ES,1997,520533.1
Spain,ES,1998,552906.5
Spain,ES,1999,595242.0
Spain,ES,2000,647569.0
Spain,ES,2001,700958.0
Spain,ES,2002,749744.0
Spain,ES,2003,802683.0
Spain,ES,2004,860059.0
Spain,ES,2005,928122.0
Spain,ES,2006,1004976.0
Spain,ES,2007,1077541.0
Spain,ES,2008,1112432.0
Spain,ES,2009,1072990.0
Spain,ES,2010,1077145.0
Spain,ES,2011,1068690.0
Spain,ES,2012,1035964.0
Spain,ES,2013,1025652.0
Spain,ES,2014,1038949.0
Spain,ES,2015,1087112.0
Spain,ES,2016,1122967.0
Spain,ES,2017,1170024.0
Spain,ES,2018,1212276.0
Spain,ES,2019,1253710.0
Spain,ES,2020,1129214.0
Spain,ES,2021,1235474.0
Spain,ES,2022,1375863.0
Spain,ES,2023,1497761.0
Spain,ES,2024,1594330.0
Spain,ES,2025,1687152.0
Sweden,SE,1993,181450.2
Sweden,SE,1994,192581.3
Sweden,SE,1995,204133.2
Sweden,SE,1996,229933.4
Sweden,SE,1997,236737.0
Sweden,SE,1998,241537.8
Sweden,SE,1999,257340.7
Sweden,SE,2000,285224.2
Sweden,SE,2001,270638.2
Sweden,SE,2002,284182.8
Sweden,SE,2003,296070.9
Sweden,SE,2004,309720.9
Sweden,SE,2005,315348.4
Sweden,SE,2006,336866.7
Sweden,SE,2007,358064.8
Sweden,SE,2008,352761.6
Sweden,SE,2009,313033.6
Sweden,SE,2010,372381.5
Sweden,SE,2011,410287.8
Sweden,SE,2012,427901.2
Sweden,SE,2013,439805.4
Sweden,SE,2014,435639.5
Sweden,SE,2015,452337.2
Sweden,SE,2016,463918.8
Sweden,SE,2017,474838.2
Sweden,SE,2018,465753.3
Sweden,SE,2019,474202.9
Sweden,SE,2020,478106.9
